LOCATION CODE|COUNTY|AREA NAME|REGION|SCHOOL YEARS|NO. OVERWEIGHT|PCT OVERWEIGHT|NO. OBESE|PCT OBESE|NO. OVERWEIGHT OR OBESE|PCT OVERWEIGHT OR OBESE|GRADE LEVEL|AREA TYPE|STREET ADDRESS|CITY|STATE|ZIP CODE|Location 1
10402|ALBANY|RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|124.0|18.5%|139.0|20.8%|263.0|39.3%|DISTRICT TOTAL|SCHOOL DISTRICT|15 MOUNTAIN RD|RAVENA|NY|12143.0|"15 MOUNTAIN RD
RAVENA, NY 12143
(42.47227638700048, -73.81484141099963)"
10402|ALBANY|RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|74.0|19.2%|72.0|18.7%|146.0|37.9%|ELEMENTARY|SCHOOL DISTRICT|15 MOUNTAIN RD|RAVENA|NY|12143.0|"15 MOUNTAIN RD
RAVENA, NY 12143
(42.47227638700048, -73.81484141099963)"
10402|ALBANY|RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|50.0|17.6%|67.0|23.6%|117.0|41.2%|MIDDLE/HIGH|SCHOOL DISTRICT|15 MOUNTAIN RD|RAVENA|NY|12143.0|"15 MOUNTAIN RD
RAVENA, NY 12143
(42.47227638700048, -73.81484141099963)"
10500|ALBANY|COHOES CITY SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|84.0|17.2%|124.0|25.4%|208.0|42.5%|DISTRICT TOTAL|SCHOOL DISTRICT|7 BEVAN ST|COHOES|NY|12047.0|"7 BEVAN ST
COHOES, NY 12047
(42.771285452000484, -73.71046311499964)"
10500|ALBANY|COHOES CITY SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|58.0|16.1%|89.0|24.7%|147.0|40.8%|ELEMENTARY|SCHOOL DISTRICT|7 BEVAN ST|COHOES|NY|12047.0|"7 BEVAN ST
COHOES, NY 12047
(42.771285452000484, -73.71046311499964)"
10500|ALBANY|COHOES CITY SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|26.0|20.2%|35.0|27.1%|61.0|47.3%|MIDDLE/HIGH|SCHOOL DISTRICT|7 BEVAN ST|COHOES|NY|12047.0|"7 BEVAN ST
COHOES, NY 12047
(42.771285452000484, -73.71046311499964)"
10601|ALBANY|SOUTH COLONIE CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|231.0|15.9%|262.0|18.1%|493.0|34%|DISTRICT TOTAL|SCHOOL DISTRICT|102 LORALEE DR|ALBANY|NY|12205.0|"102 LORALEE DR
ALBANY, NY 12205
(42.73352407800047, -73.84142054399967)"
10601|ALBANY|SOUTH COLONIE CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|145.0|17.4%|169.0|20.3%|314.0|37.8%|ELEMENTARY|SCHOOL DISTRICT|102 LORALEE DR|ALBANY|NY|12205.0|"102 LORALEE DR
ALBANY, NY 12205
(42.73352407800047, -73.84142054399967)"
10601|ALBANY|SOUTH COLONIE CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|86.0|13.9%|95.0|15.3%|181.0|29.2%|MIDDLE/HIGH|SCHOOL DISTRICT|102 LORALEE DR|ALBANY|NY|12205.0|"102 LORALEE DR
ALBANY, NY 12205
(42.73352407800047, -73.84142054399967)"
10623|ALBANY|NORTH COLONIE CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|237.0|16.3%|225.0|15.5%|462.0|31.8%|DISTRICT TOTAL|SCHOOL DISTRICT|91 FIDDLERS LN|LATHAM|NY|12110.0|"91 FIDDLERS LN
LATHAM, NY 12110
(42.72935391700048, -73.74701579899966)"
